Frame,Timestamp,Detection_ID,X1,Y1,X2,Y2,Width,Height,Center_X,Center_Y,Confidence,Class,Area
781,78.100,1,349,260,393,365,44,105,371.0,312.5,0.828,unknown,4620
781,78.100,2,566,246,604,349,38,103,585.0,297.5,0.823,unknown,3914
781,78.100,3,237,166,262,243,25,77,249.5,204.5,0.769,unknown,1925
781,78.100,4,664,136,689,202,25,66,676.5,169.0,0.721,unknown,1650
781,78.100,5,309,200,347,275,38,75,328.0,237.5,0.608,unknown,2850
786,78.600,0,582,256,630,361,48,105,606.0,308.5,0.836,unknown,5040
786,78.600,1,389,265,425,369,36,104,407.0,317.0,0.831,unknown,3744
786,78.600,2,618,213,652,311,34,98,635.0,262.0,0.800,unknown,3332
786,78.600,3,270,196,295,272,25,76,282.5,234.0,0.767,unknown,1900
786,78.600,4,224,164,252,238,28,74,238.0,201.0,0.766,unknown,2072
786,78.600,5,342,173,378,240,36,67,360.0,206.5,0.696,unknown,2412
786,78.600,6,654,140,680,205,26,65,667.0,172.5,0.677,unknown,1690
791,79.100,0,600,263,643,373,43,110,621.5,318.0,0.867,unknown,4730
791,79.100,1,632,223,670,325,38,102,651.0,274.0,0.813,unknown,3876
791,79.100,2,652,143,675,213,23,70,663.5,178.0,0.798,unknown,1610
791,79.100,3,223,159,249,229,26,70,236.0,194.0,0.774,unknown,1820
791,79.100,4,246,193,275,267,29,74,260.5,230.0,0.743,unknown,2146
791,79.100,5,367,165,401,237,34,72,384.0,201.0,0.703,unknown,2448
791,79.100,6,419,270,450,391,31,121,434.5,330.5,0.507,unknown,3751
